,name,price,year,kms,fuel,city,homedrive,emi
1421,Maruti Suzuki Swift DZire ZXI,₹ 4.46 Lakh,2012,"53,287 km",Petrol,Hyderabad,Quality Report,
1422,Maruti Suzuki Swift VDi,₹ 3.84 Lakh,2012,"69,913 km",Diesel,Hyderabad,Home Test Drive,
1423,Maruti Suzuki Celerio ZXi [2017-2019],₹ 3.77 Lakh,2018,"77,977 km",Petrol,Hyderabad,Home Test Drive,"EMI starts at₹6,260"
1424,Maruti Suzuki Baleno Delta 1.2,₹ 5.97 Lakh,2018,"62,620 km",Petrol,Hyderabad,Quality Report,"EMI starts at₹9,914"
1425,Maruti Suzuki Ignis Delta 1.2 MT,₹ 4.89 Lakh,2018,"54,821 km",Petrol,Hyderabad,Quality Report,"EMI starts at₹8,120"
1426,Hyundai Eon Era +,₹ 2.35 Lakh,2013,"63,263 km",Petrol,Hyderabad,Home Test Drive,"EMI starts at₹3,900"
1427,Honda City 1.5 S MT,₹ 4.06 Lakh,2011,"70,043 km",Petrol,Hyderabad,Home Test Drive,
1428,Maruti Suzuki Swift DZire VXI,₹ 3.92 Lakh,2013,"36,944 km",Petrol,Hyderabad,Home Test Drive,"EMI starts at₹6,516"
1429,Maruti Suzuki Baleno Delta 1.2,₹ 6.23 Lakh,2018,"30,744 km",Petrol,Hyderabad,Home Test Drive,"EMI starts at₹10,345"
1430,Maruti Suzuki Wagon R 1.0 VXi,₹ 2.52 Lakh,2011,"44,829 km",Petrol,Hyderabad,Home Test Drive,
1431,Maruti Suzuki Swift DZire VXI,₹ 3.55 Lakh,2013,"85,986 km",Petrol,Hyderabad,Home Test Drive,"EMI starts at₹5,898"
1432,Maruti Suzuki S-Cross Zeta 1.3,₹ 7.05 Lakh,2015,"54,081 km",Diesel,Hyderabad,,"EMI starts at₹11,707"
1433,Ford EcoSport Titanium 1.5 TDCi,₹ 4.6 Lakh,2014,"54,501 km",Diesel,Hyderabad,Home Test Drive,"EMI starts at₹7,647"
1434,Maruti Suzuki Baleno Delta 1.2,₹ 5.16 Lakh,2018,"79,506 km",Petrol,Hyderabad,Home Test Drive,"EMI starts at₹8,572"
